Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QCL","Cultures et produits animaux","120","République démocratique populaire lao","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","46624","A","Chiffre officiel"
"QCL","Cultures et produits animaux","56","République dominicaine","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","180900","I","Valeur imputée"
"QCL","Cultures et produits animaux","116","République populaire démocratique de Corée","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","16683","A","Chiffre officiel"
"QCL","Cultures et produits animaux","215","République-Unie de Tanzanie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","39023","I","Valeur imputée"
"QCL","Cultures et produits animaux","229","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","172000","A","Chiffre officiel"
"QCL","Cultures et produits animaux","184","Rwanda","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","5715","I","Valeur imputée"
"QCL","Cultures et produits animaux","189","Sainte-Lucie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","466","I","Valeur imputée"
"QCL","Cultures et produits animaux","188","Saint-Kitts-et-Nevis","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","91","I","Valeur imputée"
"QCL","Cultures et produits animaux","191","Saint-Vincent-et-les Grenadines","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","251","I","Valeur imputée"
"QCL","Cultures et produits animaux","244","Samoa","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","417","I","Valeur imputée"
"QCL","Cultures et produits animaux","193","Sao Tomé-et-Principe","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","299","E","Valeur estimée"
"QCL","Cultures et produits animaux","195","Sénégal","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","85193","A","Chiffre officiel"
"QCL","Cultures et produits animaux","272","Serbie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","14927","A","Chiffre officiel"
