Zone,Dispo_intérieur en Tonne,Dispo_Alim_kcal_pers_jour_volaille,Dispo_Prot_g_pers_jour_volaille,Dispo_Alim_kg_pers_volaille,Population 2020,Evol Population 2010-2020 en %,PIB par habitant $,Qté poulets exporté en nb de tete,Valeur exporté en $,Qté poulets importé en nb de tete,Valeur importé en $,Qté de production poulets
Botswana,8000.0,12.13,1.27,3.53,2546402.0,21.7,5814.3410155,0.0,0.0,1613.0,3491000.0,940.0
Brésil,10288000.0,206.04,15.84,48.39,213196304.0,8.6,6722.291569,24256.0,77891000.0,21.0,1028000.0,1479363.0
Burkina Faso,198000.0,31.69,3.19,9.48,21522626.0,33.5,820.0789884999999,28.0,1000.0,1693.0,505000.0,40302.0
Burundi,7000.0,1.88,0.19,0.56,12220227.0,33.9,296.6057095,0.0,0.0,1.0,9000.0,2635.0
Bénin,105000.0,23.25,3.13,8.69,12643123.0,33.9,1234.284042,0.0,0.0,160.0,701000.0,22690.0
Cabo Verde,11000.0,67.36,7.06,19.4,582640.0,11.8,2888.963898,0.0,0.0,122.0,89000.0,1000.0
Cambodge,46000.0,12.62,0.87,2.76,16396860.0,14.2,1512.3287995,0.0,0.0,232.0,1539000.0,12945.0
Cameroun,88000.0,11.03,1.11,3.3,26491087.0,33.3,1523.6177865,0.0,0.0,661.0,3136000.0,55222.0
Canada,1510000.0,159.46,14.16,40.1,37888705.0,11.6,43185.3282265,2713.0,11368000.0,36093.0,59643000.0,172420.0
Chili,689000.0,152.66,11.9,36.05,19300315.0,13.5,12682.69407,0.0,0.0,502.0,7220000.0,109827.0
Chine,5679500.0,153.4425,13.755,39.425000000000004,364232121.5,8.875,32985.574125,1240.0,459750.0,2133.75,15158750.0,1299190.0
Chypre,39000.0,101.81,10.71,28.35,1237537.0,9.5,19497.8121985,0.0,0.0,418.0,900000.0,11290.6
Colombie,1719000.0,116.86,10.1,33.78,50930662.0,13.6,5283.084252,1805.0,4367000.0,708.0,18055000.0,210541.0
Comores,23000.0,89.45,9.02,26.76,806166.0,22.9,1537.2113494999999,0.0,0.0,2.0,23000.0,530.0
Congo,128000.0,77.74,7.94,23.21,5702174.0,28.5,1699.215827,745.0,35000.0,252.0,128000.0,2962.0
Costa Rica,178000.0,118.4,10.21,34.29,5123105.0,10.8,11785.173285500001,10424.0,7137000.0,1156.0,6447000.0,25704.0
Cuba,431000.0,130.48,11.26,37.7,11300698.0,0.1,9428.2064215,25388.8,31837200.0,29416.0,45809400.0,30245.0
Côte d'Ivoire,77000.0,9.82,0.99,2.93,26811790.0,26.9,2253.1138554999998,0.0,0.0,1145.0,4185000.0,84431.0
Danemark,143000.0,92.2,10.4,24.56,5825641.0,5.0,61960.7186145,61051.0,87570000.0,1881.0,9758000.0,10682.6
Djibouti,4000.0,12.27,1.25,3.63,1090156.0,18.6,3096.0168775,226.6,177400.0,412.0,923800.0,5743.0
El Salvador,168000.0,90.3,7.93,25.9,6292731.0,2.9,3798.909326,12323.0,7460000.0,6102.0,8120000.0,18246.0
Espagne,1584000.0,116.09,13.8,33.6,47363807.0,1.7,26993.717164499998,27320.0,77853000.0,33532.0,34991000.0,41983.4
Eswatini,8000.0,24.59,2.52,7.26,1180655.0,7.3,3191.5186435,1011.0,694000.0,621.0,676000.0,3838.0
Fidji,29000.0,99.2,10.2,28.76,920422.0,1.7,4711.422663,0.0,0.0,460.0,1741000.0,5544.0
Finlande,125000.0,76.35,8.89,21.08,5529468.0,3.1,49581.347889,14081.0,5590000.0,631.0,2617000.0,8507.0
France,1582000.0,91.6,9.03,22.97,64480053.0,3.3,41245.2734105,97918.0,186102000.0,21003.0,35067000.0,242015.0
Fédération de Russie,4596000.0,102.99,10.37,30.78,145617329.0,1.7,10107.6383055,11000.0,12049000.0,3095.0,15626000.0,496964.0
Gabon,88000.0,133.83,14.05,39.73,2292573.0,34.0,6447.625421,0.0,0.0,307.0,479000.0,3322.0
Gambie,26000.0,35.45,3.57,10.61,2573995.0,32.9,698.049473,0.0,0.0,5.0,0.0,1502.0
Ghana,360000.0,25.55,3.6,11.57,32180401.0,25.8,2187.9717735000004,222.0,1000.0,11288.0,13669000.0,95293.0
Guatemala,556000.0,101.08,9.4,28.68,17362718.0,19.4,4428.597142500001,4305.0,2230000.0,12062.0,19182000.0,39649.0
Guinée,35000.0,8.99,0.94,2.67,13205153.0,28.6,1023.7826665,0.0,2000.0,1159.0,1467000.0,33982.0
Guinée équatoriale,51200.0,124.46,11.736,35.242000000000004,1596049.0,45.8,5952.8763225,55.6,47000.0,2759.6,1663200.0,373.0
Guinée-Bissau,6000.0,10.41,1.06,3.1,2015828.0,28.6,698.724951,0.0,0.0,5.0,3000.0,2090.0
Guyana,33000.0,178.19,13.35,41.39,797202.0,6.6,7228.374734,0.0,0.0,87.0,104000.0,29432.0
Haïti,124000.0,37.59,3.3,10.85,11306801.0,14.9,1464.9655665,0.0,0.0,1199.0,3100000.0,5858.0
Honduras,214000.0,93.04,6.98,21.62,10121763.0,19.8,2272.2498159999996,360.0,199000.0,2100.0,7435000.0,48611.0
Inde,3594000.0,8.86,0.87,2.6,1396387127.0,12.6,1900.768392,158.0,224000.0,63.0,2964000.0,824326.0
Indonésie,3745000.0,46.39,4.6,13.69,271857970.0,11.4,3842.2622444999997,372.0,286000.0,1118.0,31843000.0,3570142.0
Iran,2182000.0,90.74,9.26,25.99,87290193.0,15.8,6131.594056,475.0,239000.0,506.0,6673000.0,1017615.0
Iraq,185000.0,18.97,2.0,5.38,42556984.0,36.1,4229.218956999999,0.0,0.0,3817.0,12491000.0,78534.0
Irlande,129000.0,114.37,14.28,24.72,4946119.0,9.3,75456.39374,3341.0,3828000.0,7030.0,8750000.0,13351.0
Israël,598000.0,238.71,28.38,68.93,8757489.0,19.5,46248.9356255,0.0,0.0,710.0,6045000.0,51140.0
Jamaïque,162000.0,186.77,16.4,53.91,2820436.0,3.2,4816.2532585,0.0,0.0,520.0,1512000.0,14050.0
Jordanie,267000.0,90.87,9.36,26.09,10928721.0,57.7,3992.723194,25.0,1054000.0,156.0,12715000.0,30379.0
Kazakhstan,396000.0,71.61,7.28,21.24,18979243.0,14.1,8616.5729475,17.0,371000.0,398.0,10953000.0,41668.0
Kenya,71000.0,4.39,0.44,1.31,51985780.0,25.2,1926.867632,151.0,135000.0,540.0,1446000.0,57178.0
